Date,Open,High,Low,Close,Volume
20130102,19.77928543,19.8214283,19.34392929,19.60821342,560518000
20130103,19.56714249,19.63107109,19.3214283,19.36071396,352965200
20130104,19.17749977,19.23678589,18.77964211,18.8214283,594333600
20130107,18.6428566,18.90357018,18.39999962,18.71071434,484156400
20130108,18.90035629,18.99607086,18.6160717,18.76107025,458707200
20130109,18.6607132,18.75035667,18.42821312,18.46785736,407604400
20130110,18.87678528,18.88285637,18.41142845,18.69678688,601146000
20130111,18.6071434,18.76142883,18.53642845,18.58214378,350506800
20130114,17.95285606,18.125,17.80392838,17.9196434,734207600
20130115,17.79642868,17.82107162,17.26357079,17.35428619,876772400
20130116,17.66571426,18.19428635,17.5892868,18.07464218,690804800
20130117,18.22535706,18.2410717,17.92964363,17.95285606,453678400
20130118,17.80428505,17.93642807,17.72857094,17.8571434,472922800
20130122,18.02000046,18.13857079,17.73678589,18.02750015,461546400
20130123,18.17178535,18.39249992,18.02750015,18.35750008,861509600
20130124,16.4285717,16.63321495,16.0803566,16.0892868,1460852400
20130125,16.13178635,16.29392815,15.53571415,15.71000004,1208026400
20130128,15.63678646,16.1860714,15.56642914,16.06535721,785517600
20130129,16.375,16.43571472,16.14714241,16.36678505,571158000
20130130,16.3214283,16.52142906,16.2321434,16.31535721,417155200
20130131,16.32071495,16.40285683,16.24928665,16.26749992,319334400
20130201,16.39678574,16.40999985,16.01250076,16.20071411,539484400
20130204,16.21107101,16.28357124,15.78571415,15.79714298,477117200
20130205,15.85892868,16.41928673,15.79357147,16.35142899,573347600
20130206,16.30249977,16.6607132,16.1635704,16.33392906,593706400
20130207,16.5446434,16.7857132,16.21857071,16.72214317,704580800
20130208,16.9285717,17.10035706,16.7232132,16.96357155,633158400
20130211,17.0178566,17.31928635,16.9017868,17.14035606,517490400
20130212,17.12535667,17.22785759,16.70499992,16.71071434,609053200
20130213,16.6860714,16.91571426,16.54357147,16.67892838,475207600
20130214,16.59000015,16.84428596,16.57214355,16.66392899,355275200
20130215,16.74464226,16.79142952,16.42571449,16.43428612,391745200
20130219,16.46785736,16.52607155,16.20892906,16.42821312,435783600
20130220,16.34607124,16.34607124,16.02857018,16.03035736,476302400
20130221,15.92857075,16.04178619,15.81499958,15.93071365,447182400
20130222,16.0446434,16.12857056,15.94999981,16.10035706,330654800
20130225,16.20892906,16.25428581,15.80607128,15.81428623,372579200
20130226,15.85071373,16.1264286,15.63071442,16.03464317,501499600
20130227,16.01535606,16.15857124,15.73750019,15.87749958,587350400
20130228,15.85892868,15.99535656,15.76428604,15.76428604,322515200
20130301,15.6428566,15.64928627,15.3564291,15.37392902,552448400
20130304,15.27857113,15.29285717,14.96428585,15.00178623,582755600
20130305,15.0528574,15.54249954,15.02678585,15.39785671,638433600
20130306,15.51821423,15.5446434,15.15821362,15.20214272,460250000
20130307,15.16071415,15.42892933,15.03785706,15.37785721,468473600
20130308,15.35000038,15.55107117,15.30749989,15.41857147,391482000
20130311,15.34821415,15.67892933,15.18357086,15.63821411,474236000
20130312,15.55714321,15.67428589,15.27035713,15.30107117,465911600
20130313,15.30178642,15.5178566,15.19142914,15.29821396,405549200
20130314,15.45821381,15.52285671,15.37321377,15.44642925,303875600
20130315,15.64035702,15.8653574,15.61607075,15.84500027,643960800
20130318,15.76607132,16.33785629,15.75714302,16.27571487,606197200
20130319,16.4107132,16.46321487,16.0178566,16.23178673,526775200
20130320,16.3364296,16.34392929,16.05678558,16.14571381,308660800
20130321,16.07928658,16.35642815,16.07500076,16.16892815,383255600
20130322,16.23500061,16.50357056,16.18250084,16.49678612,395105200
20130325,16.59607124,16.78392982,16.49214363,16.55642891,501135600
20130326,16.62285614,16.63714218,16.44750023,16.46928596,294294000
20130327,16.3021431,16.31428528,16.09749985,16.14571381,331237200
20130328,16.06500053,16.13642883,15.77214336,15.80928612,442839600
20130401,15.78214264,15.84642887,15.27642918,15.31821442,389732000
20130402,15.27142906,15.64785671,15.22857094,15.34964275,529519200
20130403,15.40607071,15.61714268,15.36821365,15.42821407,363216000
20130404,15.49142933,15.53571415,15.1875,15.27571392,358447600
20130405,15.16071415,15.17678642,14.98857117,15.11428642,383695200
20130408,15.17321396,15.2678566,15.08892918,15.22178555,300829200
20130409,15.22714329,15.30357075,15.09821415,15.2492857,306614000
20130410,15.28928566,15.60928631,15.21464252,15.56035709,375928000
20130411,15.48999977,15.64249992,15.39999962,15.51178646,328364400
20130412,15.50535679,15.50535679,15.32464314,15.35000038,238613200
20130415,15.25,15.28178596,14.98392868,14.99464321,317520000
20130416,15.05607128,15.23607063,15.02035713,15.22285748,305771200
20130417,15.0096426,15.02142906,14.21821404,14.38571358,945056000
20130418,14.46392918,14.49250031,13.91928577,14.00178623,666299200
20130419,13.85607147,14.27142906,13.75357056,13.94750023,609274400
20130422,14.02285671,14.36428642,13.97392941,14.23821354,429920400
20130423,14.42821407,14.58500004,14.24321365,14.50464344,664238400
20130424,14.05500031,14.8303566,14.0178566,14.48071384,969651200
20130425,14.6867857,14.78357124,14.53571415,14.58500004,384837600
20130426,14.63607121,14.9560709,14.5803566,14.89999962,764097600
20130429,15.01607132,15.48642921,15,15.36142921,640326400
20130430,15.53928566,15.90178585,15.43107128,15.81357098,691538400
20130501,15.8735714,15.89035702,15.51392937,15.6889286,506909200
20130502,15.77785683,16.02107048,15.73678589,15.91142941,421828400
20130503,16.11821365,16.18678665,16.04107094,16.07071495,361300800
20130506,16.27535629,16.50714302,16.22535706,16.4539299,496641600
20130507,16.60607147,16.6339283,16.20357132,16.38071442,483753200
20130508,16.3942852,16.62035751,16.27892876,16.56571388,472598000
20130509,16.42178535,16.5357132,16.27071381,16.31321335,398487600
20130510,16.35607147,16.4182148,16.08857155,16.17749977,334852000
20130513,16.12535667,16.35357094,16.125,16.24071312,316948800
20130514,16.20892906,16.25714302,15.79107094,15.85214329,447118000
20130515,15.68428612,15.75,15.08428574,15.31607056,741613600
20130516,15.11571407,15.63749981,14.96071434,15.52071381,603204000
20130517,15.68035698,15.71749973,15.39321423,15.47357082,427904400
20130520,15.42535686,15.92142868,15.36071396,15.81892872,451578400
20130521,15.64821434,15.90999985,15.50714302,15.70214272,456022000
20130522,15.85892868,16.01250076,15.65071392,15.76249981,443038400
20130523,15.56964302,15.93428612,15.5639286,15.79071426,353021200
20130524,15.74464321,15.91642857,15.72714329,15.89821434,276166800
20130528,16.06785774,16.11107063,15.74464321,15.76571369,386145200
20130529,15.71428585,15.9821434,15.69285679,15.89107132,330576400
20130530,15.91607094,16.2321434,15.87535667,16.12785721,353519600
20130531,16.1607132,16.32500076,16.0535717,16.06178665,384302800
20130603,16.09749985,16.15571404,15.8028574,16.09714317,372352400
20130604,16.18642807,16.22964287,15.97821426,16.04678535,292728800
20130605,15.91607094,16.09714317,15.84678555,15.89678574,290589600
20130606,15.90964317,15.96428585,15.50178623,15.65928555,416934000
20130607,15.58928585,15.82999992,15.4560709,15.77892876,404535600
20130610,15.883214,16.0385704,15.60000038,15.67464256,450153200
20130611,15.56214333,15.81285667,15.47571373,15.62857056,286112400
20130612,15.69642925,15.75892925,15.41071415,15.43535709,265227200
20130613,15.44642925,15.61214256,15.3125,15.56999969,285832400
20130614,15.55000019,15.58178616,15.30357075,15.35892868,271866000
20130617,15.40857124,15.56071377,15.36999989,15.42857075,259414400
